92 17057 0
1671 323 18073
365 264 18039
369 467 17962
395 291 17804
331 266 18287
246 437 17920
367 367 17953
279 351 18021
357 154 18071
387 343 18075
430 414 18023
247 398 17907
287 415 18021
283 391 17980
315 351 18035
302 355 18049
357 414 18073
379 449 18041
416 308 17949
350 324 18157
392 337 17991
354 444 17999
330 378 18179
351 375 18079
330 365 18102
399 403 18044
379 286 18033
330 446 18026
363 280 18120
298 411 18072
354 317 18047
290 244 18109
390 369 18080
346 359 17977
406 390 18075
333 341 18108
355 466 18007
365 376 18086
389 294 17989
298 316 18123
354 299 18063
366 431 18333
357 333 17946
366 349 18375
387 330 18027
275 324 18384
374 335 18048
390 380 18069
394 458 18140
398 451 17939
382 399 18122
378 367 17953
419 385 17875
416 339 17964
380 341 17977
341 423 17892
232 412 18040
324 369 18100
158 277 18096
326 314 18029
290 345 18053
337 375 18119
396 360 17988
317 411 17968
311 345 18084
362 355 17963
411 403 18051
345 365 17940
275 326 18000
389 331 17947
410 365 18041
251 317 18066
389 355 18033
296 362 18134
414 326 18043
385 350 18059
220 399 18086
355 291 17985
337 319 18111
363 331 18056
410 416 18051
383 390 17971
419 296 17901
536 358 17967
351 287 17972
296 367 18033
266 357 18012
386 311 18017
392 341 17992
328 346 18026
333 378 18041
323 369 18053
337 378 18103
423 387 18115
416 335 18041
278 416 18028
308 408 18123
326 274 17989
470 382 18088
343 295 17896
429 394 18015
358 474 18035
531 295 18151
341 418 18028
311 335 18123
290 396 18004
411 351 18086
347 312 18037
354 360 18094
367 292 17959
351 277 18052
274 422 18080
403 411 18155
390 324 18059
311 335 17927
375 304 18057
343 380 18129
349 270 18039
277 316 17916
438 379 18006
300 386 18066
407 447 18099
311 383 18178
336 291 18001
386 336 18148
154 394 17964
385 371 18389
351 419 17956
290 255 18241
357 306 18125
447 391 18000
380 466 18055
282 403 18007
337 429 18008
350 347 18036
303 358 18001
330 383 18090
359 385 17993
406 353 18039
374 335 17959
213 378 17962
302 341 18011
341 379 18068
298 315 17967
410 463 17989
390 365 18124
363 370 18044
408 354 17969
300 333 17952
369 367 18047
292 304 17979
246 339 18075
429 357 17993
327 399 18051
