363 582 17868
322 -1227 17908
278 -520 17922
184 -218 18053
312 -774 18047
252 -253 18042
143 2 17998
243 -309 17910
-80 -140 17791
60 -235 17800
40 -736 17808
-85 -379 17753
-271 129 17740
1 -417 17810
30 -376 17797
-118 -213 17782
-222 -253 17928
-5 -448 17891
-176 -340 17923
-401 -431 17929
-195 -495 17951
-374 -179 17988
-489 -223 17819
-661 -544 17637
-1051 -224 17634
-627 -580 17663
-728 -779 17652
-501 -682 17496
-284 -1595 17495
-478 -1597 17510
-176 -1523 17512
-171 -1340 17750
-129 -1680 18727
-515 -2201 18967
-26 -2257 19001
491 -2191 18991
672 -2339 18681
575 -3180 18319
376 -3441 18116
472 -2941 18068
359 -2793 18013
223 -3247 17965
518 -3315 17215
146 -3519 17100
299 -4132 17039
490 -3773 17010
431 -4265 16766
-161 -4459 16746
-92 -4553 16470
-42 -4182 16433
278 -4472 16375
433 -4451 15746
862 -4662 14900
677 -5972 15012
2755 -4540 15071
663 -3540 15110
200 -3732 15888
43 -3552 17683
246 -2842 18011
347 -2949 18076
496 -2936 18146
42 -2315 18488
129 -2064 18273
226 -2012 18220
-99 -2015 18216
-40 -1802 18222
-23 -1219 17928
-625 -1124 17928
-936 -1075 17886
-789 -1189 17885
-872 -1496 17874
-1156 4870 18015
2339 -305 18167
18 -1807 18423
-649 -873 18467
-42 -752 18457
-139 -704 18430
-172 -467 18457
179 -484 18249
-16 620 18226
593 -820 18242
-118 -732 18229
-71 -518 17954
-937 291 18356
-639 -320 18383
-616 -443 18406
-714 -497 18664
-404 -718 19056
-284 -527 18825
-552 -911 18754
-376 -1328 18736
-354 -1165 18385
-316 -1975 17738
-376 -1979 17692
-544 -2015 17702
-543 -1593 17691
-79 -2369 17639
60 -2385 17855
353 -2669 17690
435 -3182 17666
270 -3297 17631
385 -3753 17529
614 -4188 16893
507 -4387 16655
726 -4436 16599
719 -4613 16564
864 -4371 16142
703 -4778 15731
824 -5066 15468
1040 -4568 15463
1276 -4619 15458
1079 -4853 15889
1282 -4949 16297
918 -3502 16709
1015 -3857 16763
786 -2917 16842
495 -2549 17020
506 -2495 17688
383 -2968 17723
420 -2329 17743
962 -2187 17713
522 -1767 17626
467 -1518 17611
179 -649 17612
390 371 17584
